
83220 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
165140 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
247060 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
328980 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028

83220 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
165140 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
247060 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
328980 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028

83220 FLU	0.333 0.056 0.055 0.056 0.055 0.055 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
165140 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.055 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.027
247060 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
328980 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028

