0 => 0, x = 0, y = 0, z = 0, xx = 0, yy = 0, zz = 0
1 => 1, x = 0, y = 0, z = 0, xx = 1, yy = 0, zz = 0
2 => 2, x = 0, y = 0, z = 0, xx = 2, yy = 0, zz = 0
3 => 3, x = 0, y = 0, z = 0, xx = 3, yy = 0, zz = 0
8 => 4, x = 0, y = 0, z = 0, xx = 0, yy = 1, zz = 0
9 => 5, x = 0, y = 0, z = 0, xx = 1, yy = 1, zz = 0
10 => 6, x = 0, y = 0, z = 0, xx = 2, yy = 1, zz = 0
11 => 7, x = 0, y = 0, z = 0, xx = 3, yy = 1, zz = 0
16 => 8, x = 0, y = 0, z = 0, xx = 0, yy = 2, zz = 0
17 => 9, x = 0, y = 0, z = 0, xx = 1, yy = 2, zz = 0
18 => 10, x = 0, y = 0, z = 0, xx = 2, yy = 2, zz = 0
19 => 11, x = 0, y = 0, z = 0, xx = 3, yy = 2, zz = 0
24 => 12, x = 0, y = 0, z = 0, xx = 0, yy = 3, zz = 0
25 => 13, x = 0, y = 0, z = 0, xx = 1, yy = 3, zz = 0
26 => 14, x = 0, y = 0, z = 0, xx = 2, yy = 3, zz = 0
27 => 15, x = 0, y = 0, z = 0, xx = 3, yy = 3, zz = 0
4 => 16, x = 4, y = 0, z = 0, xx = 4, yy = 0, zz = 0
5 => 17, x = 4, y = 0, z = 0, xx = 5, yy = 0, zz = 0
6 => 18, x = 4, y = 0, z = 0, xx = 6, yy = 0, zz = 0
7 => 19, x = 4, y = 0, z = 0, xx = 7, yy = 0, zz = 0
12 => 20, x = 4, y = 0, z = 0, xx = 4, yy = 1, zz = 0
13 => 21, x = 4, y = 0, z = 0, xx = 5, yy = 1, zz = 0
14 => 22, x = 4, y = 0, z = 0, xx = 6, yy = 1, zz = 0
15 => 23, x = 4, y = 0, z = 0, xx = 7, yy = 1, zz = 0
20 => 24, x = 4, y = 0, z = 0, xx = 4, yy = 2, zz = 0
21 => 25, x = 4, y = 0, z = 0, xx = 5, yy = 2, zz = 0
22 => 26, x = 4, y = 0, z = 0, xx = 6, yy = 2, zz = 0
23 => 27, x = 4, y = 0, z = 0, xx = 7, yy = 2, zz = 0
28 => 28, x = 4, y = 0, z = 0, xx = 4, yy = 3, zz = 0
29 => 29, x = 4, y = 0, z = 0, xx = 5, yy = 3, zz = 0
30 => 30, x = 4, y = 0, z = 0, xx = 6, yy = 3, zz = 0
31 => 31, x = 4, y = 0, z = 0, xx = 7, yy = 3, zz = 0
32 => 32, x = 0, y = 4, z = 0, xx = 0, yy = 4, zz = 0
33 => 33, x = 0, y = 4, z = 0, xx = 1, yy = 4, zz = 0
34 => 34, x = 0, y = 4, z = 0, xx = 2, yy = 4, zz = 0
35 => 35, x = 0, y = 4, z = 0, xx = 3, yy = 4, zz = 0
40 => 36, x = 0, y = 4, z = 0, xx = 0, yy = 5, zz = 0
41 => 37, x = 0, y = 4, z = 0, xx = 1, yy = 5, zz = 0
42 => 38, x = 0, y = 4, z = 0, xx = 2, yy = 5, zz = 0
43 => 39, x = 0, y = 4, z = 0, xx = 3, yy = 5, zz = 0
48 => 40, x = 0, y = 4, z = 0, xx = 0, yy = 6, zz = 0
49 => 41, x = 0, y = 4, z = 0, xx = 1, yy = 6, zz = 0
50 => 42, x = 0, y = 4, z = 0, xx = 2, yy = 6, zz = 0
51 => 43, x = 0, y = 4, z = 0, xx = 3, yy = 6, zz = 0
56 => 44, x = 0, y = 4, z = 0, xx = 0, yy = 7, zz = 0
57 => 45, x = 0, y = 4, z = 0, xx = 1, yy = 7, zz = 0
58 => 46, x = 0, y = 4, z = 0, xx = 2, yy = 7, zz = 0
59 => 47, x = 0, y = 4, z = 0, xx = 3, yy = 7, zz = 0
36 => 48, x = 4, y = 4, z = 0, xx = 4, yy = 4, zz = 0
37 => 49, x = 4, y = 4, z = 0, xx = 5, yy = 4, zz = 0
38 => 50, x = 4, y = 4, z = 0, xx = 6, yy = 4, zz = 0
39 => 51, x = 4, y = 4, z = 0, xx = 7, yy = 4, zz = 0
44 => 52, x = 4, y = 4, z = 0, xx = 4, yy = 5, zz = 0
45 => 53, x = 4, y = 4, z = 0, xx = 5, yy = 5, zz = 0
